Planet Name,    UT Start,    UT Stop, UT 1st Contact, UT 4th Contact, Err(min), Reason,Frac1,Frac2,V mag, J mag,H mag,K mag,Depth, B-V,Chart,Type
     WTS-2 b,2018/03/10 09:52,2018/03/10 10:43,2018/03/10 08:26,2018/03/10 09:57,4, OBJ N/A,0.062,0.281,-----,13.92,13.46,13.41,0.0308,-----,Finder,P
   WASP-80 b,2018/03/09 12:05,2018/03/09 12:49,2018/03/09 11:19,2018/03/09 13:26,2.4, OBJ SUN,0.344,0.172,11.7,9.22,8.51,8.35,0.0293,0.9,Finder,P
   CoRoT-2 b,2018/03/04 11:30,2018/03/04 12:38,2018/03/04 09:14,2018/03/04 11:30,3.3, OBJ N/A,0.002,0.251,12.57,10.78,10.44,10.31,0.0275,0.85,Finder,P
   Qatar-2 b,2018/03/07 06:25,2018/03/07 10:02,2018/03/07 07:19,2018/03/07 09:08,10.2, N/A N/A,1,1,13.3,11.35,10.79,10.62,0.0272,0.7,Finder,P
   WASP-43 b,2018/03/04 02:57,2018/03/04 03:38,2018/03/04 01:54,2018/03/04 03:03,4.7, OBJ N/A,0.09,0.295,12.4,9.99,9.4,9.27,0.0255,1,Finder,P
   WASP-43 b,2018/03/07 07:25,2018/03/07 09:44,2018/03/07 07:59,2018/03/07 09:09,4.7, N/A N/A,1,1,12.4,9.99,9.4,9.27,0.0255,1,Finder,P
   WASP-43 b,2018/03/08 02:56,2018/03/08 05:15,2018/03/08 03:31,2018/03/08 04:40,4.7, N/A N/A,1,1,12.4,9.99,9.4,9.27,0.0255,1,Finder,P
Kepler-840 b,2018/03/05 09:49,2018/03/05 12:54,2018/03/05 07:31,2018/03/05 11:47,0.9, OBJ SUN,0.462,0.362,-----,13,12.68,12.6,0.022,-----,Finder,P
Kepler-840 b,2018/03/10 09:29,2018/03/10 12:48,2018/03/10 07:19,2018/03/10 11:34,0.9, OBJ SUN,0.49,0.388,-----,13,12.68,12.6,0.022,-----,Finder,P
    TrES-5 b,2018/03/06 09:43,2018/03/06 11:59,2018/03/06 09:13,2018/03/06 11:04,1.9, OBJ N/A,0.73,0.615,13.72,12.11,11.67,11.56,0.0206,0.93,Finder,P
    TrES-5 b,2018/03/09 09:31,2018/03/09 11:08,2018/03/09 08:22,2018/03/09 10:12,1.9, OBJ N/A,0.375,0.437,13.72,12.11,11.67,11.56,0.0206,0.93,Finder,P
  HAT-P-12 b,2018/03/04 04:23,2018/03/04 06:45,2018/03/04 03:15,2018/03/04 05:35,3.6, OBJ N/A,0.518,0.509,-----,10.79,10.24,10.11,0.0198,-0.24,Finder,P
  HAT-P-12 b,2018/03/07 07:12,2018/03/07 11:52,2018/03/07 08:22,2018/03/07 10:42,3.6, N/A N/A,1,1,-----,10.79,10.24,10.11,0.0198,-0.24,Finder,P
  WASP-135 b,2018/03/10 08:22,2018/03/10 11:15,2018/03/10 08:46,2018/03/10 10:26,2.8, OBJ N/A,1,0.87,13.28, -----,-----,-----,0.0194,0.97,Finder,P
   WASP-36 b,2018/03/04 05:45,2018/03/04 09:23,2018/03/04 06:39,2018/03/04 08:28,6.6, N/A N/A,1,1,12.7,11.61,11.35,11.29,0.0191,0.4,Finder,P
   WASP-36 b,2018/03/07 07:33,2018/03/07 09:15,2018/03/07 08:27,2018/03/07 10:16,6.6, N/A OBJ,0.44,0.47,12.7,11.61,11.35,11.29,0.0191,0.4,Finder,P
  HAT-P-37 b,2018/03/07 08:46,2018/03/07 12:51,2018/03/07 09:29,2018/03/07 11:49,9.2, OBJ SUN,1,0.876,13.23,12.09,11.71,11.67,0.019,-0.13,Finder,P
  HAT-P-18 b,2018/03/07 11:05,2018/03/07 12:51,2018/03/07 12:26,2018/03/07 15:09,5.5, N/A SUN,0.155,0.327,12.76,10.82,10.34,10.23,0.0186,-----,Finder,P
